A11LTL004A001.wav	abdurrahman wahid cenderung memasukkan orangnya dan menggusur kader partai lain.
A11LTL004A002.wav	abstain itu kan artinya tidak setuju.
A11LTL004A003.wav	acara yang dimulai tepat setelah dzuhur itu dibuka oleh abdul syukur.
A11LTL004A004.wav	acung yang duduk di depan menodongkan pisau kepada achmad kalla.
A11LTL004A005.wav	ada danau dan ferry kecil di kampus unsyiah.
A11LTL004A006.wav	ada informasi bahwa abdus syukur membeli senjata dari pasar gelap cipacing.
A11LTL004A007.wav	ada informasi dari ucok bahwa langkah jaksa agung diboikot oleh stafnya.
A11LTL004A008.wav	ada keanehan pada biaya pemakaian pdam bulan januari sebanyak enam ribu lima ratus.
A11LTL004A009.wav	ada kekhawatiran di hati adi solichin untuk melaksanakan ijab kabul.
A11LTL004A010.wav	ada masalah apa dengan abay bachtiar? tanya haji syakir.
A11LTL004A011.wav	ada nomer telepon bagian pelayanan bidang pemasaran pt telkomsel?
A11LTL004A012.wav	ada survei jam dua dari divisi marketing ujar adnan buyung nasution.
A11LTL004A013.wav	ada tipe hongkong, singapura dan malaysia, atau cina.
A11LTL004A014.wav	adalah kewenangan menkeu untuk mengetahui ada atau tidak sumbernya.
A11LTL004A015.wav	adapun terhadap tersangka buloggate lainnya dikenakan hukuman setimpal.
A11LTL004A016.wav	ade ahmad tidak setuju ucok mengawini saudaranya.
A11LTL004A017.wav	adis adalah panggilan akrab khadijah untuk megawati.
A11LTL004A018.wav	adu mulut itu pun akhirnya dilerai oleh amiruddin zakaria.
A11LTL004A019.wav	afan gafar dan adik zakaria duduk di teras depan
A11LTL004A020.wav	agfar menjalani tahanan di mapolres poso selama empat belas tahun.
A11LTL004A021.wav	agung ditangkap sehari setelah pembukaan prj oleh presiden megawati soekarnoputri.
A11LTL004A022.wav	agus dwikarna dan abdul jamal balfas bertemu di bandara ninoy aquino bulan september lalu.
A11LTL004A023.wav	agwunobi dan para pejabat kesehatan florida lain tidak berpendapat.
A11LTL004A024.wav	ah nggak, kamu lebay ujar agnes monica.
A11LTL004A025.wav	ah ngomong saudara kayak anak kecil saja! kata istri enjam.
A11LTL004A026.wav	ahad malam atau ahad pagi atau ahad sore.
A11LTL004A027.wav	ahmad fikri namanya bukan ahmad subagya.
A11LTL004A028.wav	ahmad zaini memprotes akibat tindakan-tindakan represif tni.
A11LTL004A029.wav	air yang ada di sungai itu membludak ujar arief biki.
